name,fk_x_mm,fk_y_mm,mapped_x_mm,mapped_y_mm,dx_mm,dy_mm,residual_mm
P1_retry2,118.643,-102.972,118.92868142444577,-109.0129239110348,0.2856814244457695,-6.04092391103481,6.047675220709646
P2,167.211,-227.708,163.00281731839758,-223.3599356592905,-4.2081826816024375,4.348064340709499,6.050988761573452
P3,235.08100000000002,-151.508,230.59735272015436,-150.24719608344955,-4.4836472798456555,1.2608039165504579,4.657544357926859
P4,234.237,-43.885,247.6679064339163,-49.37247055482694,13.430906433916306,-5.487470554826942,14.508672603884447
P5,247.923,55.504,244.74421518314358,59.13818513950976,-3.178784816856421,3.6341851395097606,4.828247564086839
P6,245.753,175.343,239.55810732789146,169.6082096641141,-6.194892672108523,-5.73479033588589,8.441831283288838
P7,180.187,203.573,176.56021127039216,207.18812487557835,-3.6267887296078527,3.6151248755783456,5.1208128607903545
P8,148.588,127.23,156.79649939935715,136.44746371087706,8.208499399357152,9.217463710877055,12.342653671337544
P9,108.52499999999999,216.312,108.29219424917649,211.49958916671505,-0.23280575082350197,-4.812410833284957,4.818038661731028
